,doc_id,original_tokens,tokens,prediction,truth
161,8,",",1,B-PER,O
162,8,uzbekistan,7429,O,B-LOC
163,8,are,32,O,O
164,8,in,6,O,O
165,8,the,0,B-PER,O
166,8,finals,2235,B-PER,O
167,8,as,19,O,O
168,8,outsiders,11373,O,O
169,8,,,,
170,9,two,55,O,O
171,9,goals,1204,O,O
172,9,from,25,O,O
173,9,defensive,2820,B-PER,O
174,9,errors,5494,O,O
175,9,in,6,O,O
176,9,the,0,B-PER,O
177,9,last,76,O,O
178,9,six,228,O,O
179,9,minutes,599,O,O
180,9,allowed,887,O,O
181,9,japan,361,O,B-LOC
182,9,to,4,O,O
183,9,come,326,O,O
184,9,from,25,O,O
185,9,behind,561,O,O
186,9,and,5,O,O
187,9,collect,5198,O,O
188,9,all,64,O,O
189,9,three,87,O,O
190,9,points,226,O,O
191,9,from,25,O,O
192,9,their,44,O,O
193,9,opening,875,O,O
194,9,meeting,286,O,O
195,9,against,98,O,O
196,9,syria,2035,O,B-LOC
197,9,,,,
198,10,takuya,84143,B-PER,B-PER
199,10,takagi,59495,B-PER,I-PER
200,10,scored,878,O,O
201,10,the,0,B-PER,O
202,10,winner,1364,O,O
203,10,in,6,O,O
204,10,the,0,B-PER,O
205,10,88th,28294,B-PER,O
206,10,minute,1214,O,O
207,10,",",1,B-PER,O
208,10,rising,1537,O,O
209,10,to,4,O,O
210,10,head,362,O,O
211,10,a,7,O,O
212,10,hiroshige,123031,B-PER,B-PER
213,10,yanagimoto,349487,B-PER,I-PER
214,10,cross,1007,O,O
215,10,towards,1811,O,O
216,10,the,0,B-PER,O
217,10,syrian,3389,O,B-MISC
218,10,goal,715,O,O
219,10,which,42,O,O
220,10,goalkeeper,4482,O,O
221,10,salem,9507,O,B-PER
222,10,bitar,110637,B-PER,I-PER
223,10,appeared,789,O,O
224,10,to,4,O,O
225,10,have,33,O,O
226,10,covered,2012,O,O
227,10,but,34,O,O
228,10,then,127,O,O
229,10,allowed,887,O,O
230,10,to,4,O,O
231,10,slip,6201,O,O
232,10,into,75,O,O
233,10,the,0,B-PER,O
234,10,net,1050,O,O
235,10,,,,
236,11,it,20,O,O
237,11,was,15,O,O
238,11,the,0,O,O
239,11,second,126,O,O
240,11,costly,6667,O,O
241,11,blunder,22924,O,O
242,11,by,21,O,O
243,11,syria,2035,O,B-LOC
244,11,in,6,O,O
245,11,four,133,O,O
246,11,minutes,599,O,O
247,11,,,,
248,12,defender,3571,O,O
249,12,hassan,5490,O,B-PER
250,12,abbas,2899,O,I-PER
251,12,rose,486,O,O
252,12,to,4,O,O
253,12,intercept,16741,B-PER,O
254,12,a,7,O,O
255,12,long,173,O,O
256,12,ball,1083,O,O
257,12,into,75,O,O
258,12,the,0,B-PER,O
259,12,area,237,O,O
260,12,in,6,O,O
261,12,the,0,B-PER,O
262,12,84th,28148,B-PER,O
263,12,minute,1214,O,O
264,12,but,34,O,O
265,12,only,91,O,O
266,12,managed,1764,O,O
267,12,to,4,O,O
268,12,divert,14203,O,O
269,12,it,20,O,O
270,12,into,75,O,O
271,12,the,0,B-PER,O
272,12,top,220,O,O
273,12,corner,2603,O,O
274,12,of,3,O,O
275,12,bitar,110637,B-PER,B-PER
276,12,'s,9,O,O
277,12,goal,715,O,O
278,12,,,,
279,13,nader,12758,B-PER,B-PER
280,13,jokhadar,400000,B-PER,I-PER
281,13,had,40,O,O
282,13,given,454,B-PER,O
283,13,syria,2035,O,B-LOC
284,13,the,0,B-PER,O
285,13,lead,410,O,O
286,13,with,17,O,O
287,13,a,7,O,O
288,13,well-struck,400000,B-PER,O
289,13,header,7961,B-PER,O
290,13,in,6,O,O
291,13,the,0,B-PER,O
292,13,seventh,2420,B-PER,O
293,13,minute,1214,O,O
294,13,,,,
295,14,japan,361,O,B-LOC
296,14,then,127,O,O
297,14,laid,2944,O,O
298,14,siege,5175,O,O
299,14,to,4,O,O
300,14,the,0,O,O
301,14,syrian,3389,O,B-MISC
302,14,penalty,1877,O,O
303,14,area,237,O,O
304,14,for,10,O,O
305,14,most,96,O,O
306,14,of,3,O,O
307,14,the,0,O,O
308,14,game,186,O,O
309,14,but,34,O,O
310,14,rarely,4022,O,O
311,14,breached,14685,O,O
312,14,the,0,O,O
313,14,syrian,3389,O,B-MISC
314,14,defence,2202,O,O
315,14,,,,
316,15,bitar,110637,B-PER,B-PER
317,15,pulled,2244,O,O
318,15,off,138,O,O
319,15,fine,1695,O,O
320,15,saves,6812,O,O
321,15,whenever,6321,O,O
322,15,they,39,O,O
323,15,did,119,O,O
324,15,,,,
325,16,japan,361,O,B-LOC
326,16,coach,612,O,O
327,16,shu,20032,O,B-PER
328,16,kamo,95941,B-PER,I-PER
329,16,said,16,O,O
330,16,:,45,O,O
331,16,',57,O,O
332,16,',57,O,O
333,16,the,0,B-PER,O
334,16,syrian,3389,O,B-MISC
335,16,own,261,O,O
336,16,goal,715,O,O
337,16,proved,2750,O,O
338,16,lucky,5065,O,O
339,16,for,10,O,O
340,16,us,95,O,O
341,16,,,,
342,17,the,0,B-PER,O
343,17,syrians,17779,O,B-MISC
344,17,scored,878,O,O
345,17,early,199,O,O
346,17,and,5,O,O
347,17,then,127,O,O
348,17,played,334,O,O
349,17,defensively,19606,B-PER,O
350,17,and,5,O,O
351,17,adopted,2181,O,O
352,17,long,173,O,O
353,17,balls,4437,B-PER,O
354,17,which,42,O,O
355,17,made,116,O,O
356,17,it,20,O,O
357,17,hard,605,O,O
358,17,for,10,O,O
359,17,us,95,O,O
360,17,.,2,O,O
361,17,,,,
362,18,,,,
363,19,japan,361,O,B-LOC
364,19,",",1,B-PER,O
365,19,co-hosts,62284,B-PER,O
366,19,of,3,O,O
367,19,the,0,B-PER,O
368,19,world,85,O,B-MISC
369,19,cup,366,O,I-MISC
370,19,in,6,O,O
371,19,2002,812,O,O
372,19,and,5,O,O
373,19,ranked,2367,B-PER,O
374,19,20th,2973,O,O
375,19,in,6,O,O
376,19,the,0,B-PER,O
377,19,world,85,O,O
378,19,by,21,O,O
379,19,fifa,4271,O,B-ORG
380,19,",",1,B-PER,O
381,19,are,32,O,O
382,19,favourites,14769,O,O
383,19,to,4,O,O
384,19,regain,7442,O,O
385,19,their,44,O,O
386,19,title,698,O,O
387,19,here,187,O,O
388,19,,,,
389,20,hosts,3741,O,O
390,20,uae,8011,O,B-LOC
391,20,play,282,O,O
392,20,kuwait,3150,O,B-LOC
393,20,and,5,O,O
394,20,south,139,O,B-LOC
395,20,korea,574,O,I-LOC
396,20,take,190,O,O
397,20,on,13,O,O
398,20,indonesia,1440,O,B-LOC
399,20,on,13,O,O
400,20,saturday,277,O,O
401,20,in,6,O,O
402,20,group,129,O,O
403,20,a,7,O,O
404,20,matches,1520,O,O
405,20,,,,
406,21,all,64,O,O
407,21,four,133,O,O
408,21,teams,776,O,O
409,21,are,32,O,O
410,21,level,505,O,O
411,21,with,17,O,O
412,21,one,48,O,O
413,21,point,389,O,O
414,21,each,236,O,O
415,21,from,25,O,O
416,21,one,48,O,O
417,21,game,186,O,O
418,21,,,,
419,22,,,,
420,23,rugby,2707,O,B-ORG
421,23,union,354,O,I-ORG
422,23,-,11,O,O
423,23,cuttitta,271202,B-PER,B-PER
424,23,back,137,O,O
425,23,for,10,O,O
426,23,italy,931,O,B-LOC
427,23,after,49,O,O
428,23,a,7,O,O
429,23,year,62,O,O
430,23,,,,
431,24,rome,2618,B-PER,B-LOC
432,24,,,,
433,25,italy,931,O,B-LOC
434,25,recalled,3151,B-PER,O
435,25,marcello,25280,B-PER,B-PER
436,25,,,,
437,26,on,13,O,O
438,26,friday,185,O,O
439,26,for,10,O,O
440,26,their,44,O,O
441,26,friendly,2567,O,O
442,26,against,98,O,O
443,26,scotland,2406,O,B-LOC
444,26,at,22,O,O
445,26,murrayfield,40725,B-PER,B-LOC
446,26,more,56,O,O
447,26,than,73,O,O
448,26,a,7,O,O
449,26,year,62,O,O
450,26,after,49,O,O
451,26,the,0,B-PER,O
452,26,30-year-old,108308,B-PER,O
453,26,wing,1755,O,O
454,26,announced,457,O,O
455,26,he,18,O,O
456,26,was,15,O,O
457,26,retiring,6774,B-PER,O
458,26,following,284,O,O
459,26,differences,2738,O,O
460,26,over,74,O,O
461,26,selection,3692,O,O
462,26,,,,
463,27,cuttitta,271202,B-PER,B-PER
464,27,",",1,B-PER,O
465,27,who,38,O,O
466,27,trainer,6496,B-PER,O
467,27,george,649,O,B-PER
468,27,coste,96029,B-PER,I-PER
469,27,said,16,O,O
470,27,was,15,O,O
471,27,certain,1192,O,O
472,27,to,4,O,O
473,27,play,282,B-PER,O
474,27,on,13,O,O
475,27,saturday,277,O,O
476,27,week,147,O,O
477,27,",",1,B-PER,O
478,27,was,15,O,O
479,27,named,564,O,O
480,27,in,6,O,O
481,27,a,7,O,O
482,27,21-man,124361,B-PER,O
483,27,squad,2327,O,O
484,27,lacking,8185,B-PER,O
485,27,only,91,O,O
486,27,two,55,O,O
487,27,of,3,O,O
488,27,the,0,B-PER,O
489,27,team,145,O,O
490,27,beaten,3749,B-PER,O
491,27,54-21,400000,B-PER,O
492,27,by,21,O,O
493,27,england,563,O,B-LOC
494,27,at,22,O,O
495,27,twickenham,21874,B-PER,B-LOC
496,27,last,76,O,O
497,27,month,229,O,O
498,27,,,,
499,28,stefano,16836,O,B-PER
500,28,bordon,83019,B-PER,I-PER
501,28,is,14,O,O
502,28,out,66,O,O
503,28,through,131,O,O
504,28,illness,4270,B-PER,O
505,28,and,5,O,O
506,28,coste,96029,B-PER,B-PER
507,28,said,16,O,O
508,28,he,18,O,O
509,28,had,40,O,O
510,28,dropped,1200,O,O
511,28,back,137,O,O
512,28,row,2307,O,O
513,28,corrado,53834,B-PER,B-PER
514,28,covi,400000,B-PER,I-PER
515,28,",",1,B-PER,O
516,28,who,38,O,O
517,28,had,40,O,O
518,28,been,51,O,O
519,28,recalled,3151,O,O
520,28,for,10,O,O
521,28,the,0,B-PER,O
522,28,england,563,O,B-LOC
523,28,game,186,O,O
524,28,after,49,O,O
525,28,five,174,O,O
526,28,years,82,B-PER,O
527,28,out,66,O,O
528,28,of,3,O,O
529,28,the,0,B-PER,O
530,28,national,121,O,O
531,28,team,145,O,O
532,28,,,,
533,29,cuttitta,271202,B-PER,B-PER
534,29,announced,457,O,O
535,29,his,26,O,O
536,29,retirement,2494,O,O
537,29,after,49,O,O
538,29,the,0,B-PER,O
539,29,1995,1010,O,B-MISC
540,29,world,85,O,I-MISC
541,29,cup,366,O,I-MISC
542,29,",",1,B-PER,O
543,29,where,111,O,O
544,29,he,18,O,O
545,29,took,247,O,O
546,29,issue,495,O,O
547,29,with,17,O,O
548,29,being,134,O,O
549,29,dropped,1200,O,O
550,29,from,25,O,O
551,29,the,0,B-PER,O
552,29,italy,931,O,B-LOC
553,29,side,437,O,O
554,29,that,12,O,O
555,29,faced,2057,O,O
556,29,england,563,O,B-LOC
557,29,in,6,O,O
558,29,the,0,B-PER,O
559,29,pool,3216,B-PER,O
560,29,stages,4030,O,O
561,29,,,,
562,30,coste,96029,B-PER,B-PER
563,30,said,16,O,O
564,30,he,18,O,O
565,30,had,40,O,O
566,30,approached,4844,O,O
567,30,the,0,O,O
568,30,player,648,O,O
569,30,two,55,O,O
570,30,months,265,O,O
571,30,ago,363,O,O
572,30,about,59,O,O
573,30,a,7,O,O
574,30,comeback,5352,O,O
575,30,,,,
576,31,"""",8,O,O
577,31,he,18,O,O
578,31,ended,843,O,O
579,31,the,0,B-PER,O
580,31,world,85,O,B-MISC
581,31,cup,366,O,I-MISC
582,31,on,13,O,O
583,31,the,0,B-PER,O
584,31,wrong,1797,O,O
585,31,note,1812,O,O
586,31,",",1,B-PER,O
587,31,"""",8,O,O
588,31,coste,96029,B-PER,B-PER
589,31,said,16,O,O
590,31,,,,
591,32,"""",8,O,O
592,32,i,41,O,O
593,32,thought,804,O,O
594,32,it,20,O,O
595,32,would,54,O,O
596,32,be,30,O,O
597,32,useful,4699,O,O
598,32,to,4,O,O
599,32,have,33,O,O
600,32,him,103,O,O
601,32,back,137,O,O
602,32,and,5,O,O
603,32,he,18,O,O
604,32,said,16,O,O
605,32,he,18,O,O
606,32,would,54,O,O
607,32,be,30,O,O
608,32,available,779,O,O
609,32,,,,
610,33,i,41,O,O
611,33,think,269,O,O
612,33,now,114,O,O
613,33,is,14,O,O
614,33,the,0,O,O
615,33,right,248,O,O
616,33,time,79,O,O
617,33,for,10,O,O
618,33,him,103,O,O
619,33,to,4,O,O
620,33,return,498,O,O
621,33,.,2,O,O
622,33,,,,
623,34,squad,2327,B-PER,O
624,34,:,45,B-PER,O
625,34,javier,7381,B-PER,B-PER
626,34,pertile,278763,B-PER,I-PER
627,34,",",1,B-PER,O
628,34,paolo,12901,B-PER,B-PER
629,34,vaccari,157700,B-PER,I-PER
630,34,",",1,B-PER,O
631,34,marcello,25280,B-PER,B-PER
632,34,cuttitta,271202,B-PER,I-PER
633,34,",",1,B-PER,O
634,34,ivan,6017,B-PER,B-PER
635,34,francescato,321747,B-PER,I-PER
636,34,",",1,B-PER,O
637,34,leandro,29052,B-PER,B-PER
638,34,manteri,400000,B-PER,I-PER
639,34,",",1,B-PER,O
640,34,diego,2769,B-PER,B-PER
641,34,dominguez,21987,B-PER,I-PER
642,34,",",1,B-PER,O
643,34,francesco,11175,B-PER,B-PER
644,34,mazzariol,278163,B-PER,I-PER
645,34,",",1,B-PER,O
646,34,alessandro,13933,B-PER,B-PER
647,34,troncon,95145,B-PER,I-PER
648,34,",",1,B-PER,O
649,34,orazio,104920,B-PER,B-PER
650,34,arancio,371799,B-PER,I-PER
651,34,",",1,B-PER,O
652,34,andrea,8356,B-PER,B-PER
653,34,sgorlon,400000,B-PER,I-PER
654,34,",",1,B-PER,O
655,34,massimo,18177,O,B-PER
656,34,giovanelli,244552,B-PER,I-PER
657,34,",",1,B-PER,O
658,34,carlo,8351,B-PER,B-PER
659,34,checchinato,194858,B-PER,I-PER
660,34,",",1,B-PER,O
661,34,walter,3953,B-PER,B-PER
662,34,cristofoletto,400000,B-PER,I-PER
663,34,",",1,B-PER,O
664,34,franco,7336,B-PER,B-PER
665,34,properzi,400000,B-PER,I-PER
666,34,curti,187290,B-PER,I-PER
667,34,",",1,B-PER,O
668,34,carlo,8351,B-PER,B-PER
669,34,orlandi,114738,B-PER,I-PER
670,34,",",1,B-PER,O
671,34,massimo,18177,O,B-PER
672,34,cuttitta,271202,B-PER,I-PER
673,34,",",1,B-PER,O
674,34,giambatista,400000,B-PER,B-PER
675,34,croci,256887,B-PER,I-PER
676,34,",",1,B-PER,O
677,34,gianluca,28389,B-PER,B-PER
678,34,guidi,98955,B-PER,I-PER
679,34,",",1,B-PER,O
680,34,nicola,18481,B-PER,B-PER
681,34,mazzucato,183110,B-PER,I-PER
682,34,",",1,B-PER,O
683,34,alessandro,13933,B-PER,B-PER
684,34,moscardi,326558,B-PER,I-PER
685,34,",",1,B-PER,O
686,34,andrea,8356,B-PER,B-PER
687,34,castellani,76276,B-PER,I-PER
688,34,,,,
689,35,,,,
690,36,soccer,1733,O,O
691,36,-,11,O,O
692,36,late,288,O,O
693,36,goals,1204,O,O
694,36,give,455,O,O
695,36,japan,361,O,B-LOC
696,36,win,320,O,O
697,36,over,74,O,O
698,36,syria,2035,O,B-LOC
699,36,,,,
700,37,al-ain,313156,B-PER,B-LOC
701,37,",",1,B-PER,O
702,37,united,104,O,B-LOC
703,37,arab,1093,O,I-LOC
704,37,emirates,5925,B-PER,I-LOC
705,37,,,,
706,38,two,55,O,O
707,38,goals,1204,O,O
708,38,in,6,O,O
709,38,the,0,O,O
710,38,last,76,O,O
711,38,six,228,O,O
712,38,minutes,599,O,O
713,38,gave,646,O,O
714,38,holders,7423,O,O
715,38,japan,361,O,B-LOC
716,38,an,29,O,O
717,38,uninspiring,49427,B-PER,O
718,38,2-1,4040,O,O
719,38,asian,967,O,B-MISC
720,38,cup,366,O,I-MISC
721,38,victory,651,O,O
722,38,over,74,O,O
723,38,syria,2035,O,B-LOC
724,38,on,13,O,O
725,38,friday,185,O,O
726,38,,,,
727,39,takuya,84143,B-PER,B-PER
728,39,takagi,59495,B-PER,I-PER
729,39,headed,1814,O,O
730,39,the,0,B-PER,O
731,39,winner,1364,B-PER,O
732,39,in,6,O,O
733,39,the,0,B-PER,O
734,39,88th,28294,B-PER,O
735,39,minute,1214,O,O
736,39,of,3,O,O
737,39,the,0,B-PER,O
738,39,group,129,B-PER,O
739,39,c,1864,B-PER,O
740,39,game,186,O,O
741,39,after,49,O,O
742,39,goalkeeper,4482,O,O
743,39,salem,9507,O,B-PER
744,39,bitar,110637,B-PER,I-PER
745,39,spoiled,16265,O,O
746,39,a,7,O,O
747,39,mistake-free,400000,B-PER,O
748,39,display,2873,O,O
749,39,by,21,O,O
750,39,allowing,2023,O,O
751,39,the,0,B-PER,O
752,39,ball,1083,O,O
753,39,to,4,O,O
754,39,slip,6201,O,O
755,39,under,124,O,O
756,39,his,26,B-PER,O
757,39,body,719,O,O
758,39,,,,
759,40,it,20,O,O
760,40,was,15,O,O
761,40,the,0,B-PER,O
762,40,second,126,O,O
763,40,syrian,3389,O,B-MISC
764,40,defensive,2820,B-PER,O
765,40,blunder,22924,B-PER,O
766,40,in,6,O,O
767,40,four,133,O,O
768,40,minutes,599,O,O
769,40,,,,
770,41,defender,3571,O,O
771,41,hassan,5490,O,B-PER
772,41,abbas,2899,O,I-PER
773,41,rose,486,O,O
774,41,to,4,O,O
775,41,intercept,16741,B-PER,O
776,41,a,7,O,O
777,41,long,173,O,O
778,41,ball,1083,O,O
779,41,into,75,O,O
780,41,the,0,B-PER,O
781,41,area,237,O,O
782,41,in,6,O,O
783,41,the,0,B-PER,O
784,41,84th,28148,B-PER,O
785,41,minute,1214,O,O
786,41,but,34,O,O
787,41,only,91,O,O
788,41,managed,1764,O,O
789,41,to,4,O,O
790,41,divert,14203,O,O
791,41,it,20,O,O
792,41,into,75,O,O
793,41,the,0,B-PER,O
794,41,top,220,O,O
795,41,corner,2603,O,O
796,41,of,3,O,O
797,41,bitar,110637,B-PER,B-PER
798,41,'s,9,O,O
799,41,goal,715,O,O
800,41,,,,
801,42,syria,2035,O,B-LOC
802,42,had,40,O,O
803,42,taken,492,B-PER,O
804,42,the,0,B-PER,O
805,42,lead,410,O,O
806,42,from,25,O,O
807,42,their,44,O,O
808,42,first,58,O,O
809,42,serious,1034,O,O
810,42,attack,436,O,O
811,42,in,6,O,O
812,42,the,0,B-PER,O
813,42,seventh,2420,O,O
814,42,minute,1214,O,O
815,42,,,,
816,43,nader,12758,B-PER,B-PER
817,43,jokhadar,400000,B-PER,I-PER
818,43,headed,1814,O,O
819,43,a,7,O,O
820,43,cross,1007,O,O
821,43,from,25,B-PER,O
822,43,the,0,B-PER,O
823,43,right,248,B-PER,O
824,43,by,21,O,O
825,43,ammar,37582,B-PER,B-PER
826,43,awad,28476,B-PER,I-PER
827,43,into,75,O,O
828,43,the,0,B-PER,O
829,43,top,220,O,O
830,43,right,248,B-PER,O
831,43,corner,2603,O,O
832,43,of,3,O,O
833,43,kenichi,55919,B-PER,B-PER
834,43,shimokawa,235569,B-PER,I-PER
835,43,'s,9,O,O
836,43,goal,715,O,O
837,43,,,,
838,44,japan,361,O,B-LOC
839,44,then,127,O,O
840,44,laid,2944,O,O
841,44,siege,5175,O,O
842,44,to,4,O,O
843,44,the,0,O,O
844,44,syrian,3389,O,B-MISC
845,44,penalty,1877,O,O
846,44,area,237,O,O
847,44,and,5,O,O
848,44,had,40,O,O
849,44,a,7,O,O
850,44,goal,715,O,O
851,44,disallowed,26717,O,O
852,44,for,10,O,O
853,44,offside,20495,O,O
854,44,in,6,O,O
855,44,the,0,O,O
856,44,16th,4742,O,O
857,44,minute,1214,O,O
858,44,,,,
859,45,a,7,O,O
860,45,minute,1214,O,O
861,45,later,168,O,O
862,45,",",1,B-PER,O
863,45,bitar,110637,B-PER,B-PER
864,45,produced,1014,O,O
865,45,a,7,O,O
866,45,good,219,O,O
867,45,double,1278,O,O
868,45,save,1753,O,O
869,45,",",1,B-PER,O
870,45,first,58,O,O
871,45,from,25,O,O
872,45,kazuyoshi,73110,B-PER,B-PER
873,45,miura,38860,B-PER,I-PER
874,45,'s,9,O,O
875,45,header,7961,B-PER,O
876,45,and,5,O,O
877,45,then,127,O,O
878,45,blocked,3635,O,O
879,45,a,7,O,O
880,45,takagi,59495,B-PER,B-PER
881,45,follow-up,17380,O,O
882,45,shot,635,O,O
883,45,,,,
884,46,bitar,110637,B-PER,B-PER
885,46,saved,4037,O,O
886,46,well,143,O,O
887,46,again,378,O,O
888,46,from,25,O,O
889,46,miura,38860,B-PER,B-PER
890,46,in,6,O,O
891,46,the,0,B-PER,O
892,46,37th,17960,B-PER,O
893,46,minute,1214,O,O
894,46,",",1,B-PER,O
895,46,parrying,112250,B-PER,O
896,46,away,420,O,O
897,46,his,26,O,O
898,46,header,7961,B-PER,O
899,46,from,25,O,O
900,46,a,7,O,O
901,46,corner,2603,O,O
902,46,,,,
903,47,japan,361,O,B-LOC
904,47,started,551,O,O
905,47,the,0,O,O
906,47,second,126,O,O
907,47,half,343,O,O
908,47,brightly,17478,B-PER,O
909,47,but,34,O,O
910,47,bitar,110637,B-PER,B-PER
911,47,denied,1407,O,O
912,47,them,101,O,O
913,47,an,29,O,O
914,47,equaliser,21823,O,O
915,47,when,61,O,O
916,47,he,18,O,O
917,47,dived,17403,B-PER,O
918,47,to,4,O,O
919,47,his,26,O,O
920,47,right,248,O,O
921,47,to,4,O,O
922,47,save,1753,O,O
923,47,naoki,56762,B-PER,B-PER
924,47,soma,46219,B-PER,I-PER
925,47,'s,9,O,O
926,47,low,653,O,O
927,47,drive,1203,O,O
928,47,in,6,O,O
929,47,the,0,O,O
930,47,53rd,20706,O,O
931,47,minute,1214,O,O
932,47,,,,
933,48,japan,361,B-PER,B-LOC
934,48,:,45,B-PER,O
935,48,19,904,B-PER,O
936,48,-,11,B-PER,O
937,48,kenichi,55919,B-PER,B-PER
938,48,shimokawa,235569,B-PER,I-PER
939,48,",",1,B-PER,O
940,48,2,232,B-PER,O
941,48,-,11,B-PER,O
942,48,hiroshige,123031,B-PER,B-PER
943,48,yanagimoto,349487,B-PER,I-PER
944,48,",",1,B-PER,O
945,48,3,314,B-PER,O
946,48,-,11,B-PER,O
947,48,naoki,56762,B-PER,B-PER
948,48,soma,46219,B-PER,I-PER
949,48,",",1,B-PER,O
950,48,4,409,B-PER,O
951,48,-,11,B-PER,O
952,48,masami,68943,B-PER,B-PER
953,48,ihara,97611,B-PER,I-PER
954,48,",",1,B-PER,O
955,48,5,422,B-PER,O
956,48,-,11,B-PER,O
957,48,norio,86187,B-PER,B-PER
958,48,omura,128684,B-PER,I-PER
959,48,",",1,B-PER,O
960,48,6,524,B-PER,O
961,48,-,11,B-PER,O
962,48,motohiro,200820,B-PER,B-PER
963,48,yamaguchi,24603,B-PER,I-PER
964,48,",",1,B-PER,O
965,48,8,652,B-PER,O
966,48,-,11,B-PER,O
967,48,masakiyo,319705,B-PER,B-PER
968,48,maezono,214176,B-PER,I-PER
969,48,(,23,B-PER,O
